ACCNUM,ObjectId,INVTYPE,INVAGE,INJURY,VEHTYPE,MANOEUVER,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOUR,TIME,VISIBILITY,LIGHT,collision_lat,collision_long
1290286,8977,Driver,65 to 69,None,"Automobile, Station Wagon",Stopped,0,1,1,0,0,0,0,0,0,0,0,0,0,13,1337,Clear,Daylight,-79.3055,43.7318
1290286,8979,Driver,35 to 39,None,"Automobile, Station Wagon",Going Ahead,0,1,1,0,0,0,0,0,0,0,0,0,0,13,1337,Clear,Daylight,-79.3055,43.7318
1290286,8980,Cyclist,50 to 54,Major,Bicycle,Going Ahead,0,1,1,0,0,0,0,0,0,0,0,0,0,13,1337,Clear,Daylight,-79.3055,43.7318
1290624,7717,Driver,unknown,None,"Automobile, Station Wagon",Going Ahead,0,1,1,0,0,0,0,0,0,1,0,0,0,20,2020,Clear,Dark,-79.4382,43.65
1290624,7718,Cyclist,50 to 54,Major,Bicycle,Going Ahead,0,1,1,0,0,0,0,0,0,1,0,0,0,20,2020,Clear,Dark,-79.4382,43.65
1291890,8130,Driver,45 to 49,Major,"Automobile, Station Wagon",Unknown,0,0,1,0,0,0,0,0,1,1,0,0,0,18,1802,Clear,Daylight,-79.2221,43.7511
1291892,8443,Driver,20 to 24,Major,Other,Going Ahead,0,0,1,0,0,0,0,0,0,0,0,0,0,19,1937,Clear,Daylight,-79.4763,43.6832
1291892,8453,Other,unknown,None,"Automobile, Station Wagon",NULL,0,0,1,0,0,0,0,0,0,0,0,0,0,19,1937,Clear,Daylight,-79.4763,43.6832
1292158,8472,Driver,25 to 29,Major,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,0,0,0,0,0,0,4,445,Clear,"Dark, artificial",-79.59,43.7374
1292879,8688,Driver,45 to 49,None,"Automobile, Station Wagon",Going Ahead,1,0,1,0,0,0,0,0,0,0,0,0,0,17,1704,Clear,Daylight,-79.2608,43.8171
1292879,8689,Pedestrian,25 to 29,Major,Other,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,17,1704,Clear,Daylight,-79.2608,43.8171
1293196,8676,Passenger,30 to 34,Minor,Other,NULL,0,0,1,0,0,0,0,1,0,1,0,0,0,13,1330,Clear,Daylight,-79.5548,43.6289
1293196,8678,Driver,25 to 29,Minor,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,1,0,0,0,13,1330,Clear,Daylight,-79.5548,43.6289
1293196,8679,Driver,55 to 59,Minimal,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,1,0,0,0,13,1330,Clear,Daylight,-79.5548,43.6289
1293196,8673,Driver,50 to 54,None,"Automobile, Station Wagon",Going Ahead,0,0,1,0,0,0,0,1,0,1,0,0,0,13,1330,Clear,Daylight,-79.5548,43.6289
1293196,8674,Passenger,0 to 4,Major,Other,NULL,0,0,1,0,0,0,0,1,0,1,0,0,0,13,1330,Clear,Daylight,-79.5548,43.6289
1293196,8675,Passenger,unknown,Minimal,Other,NULL,0,0,1,0,0,0,0,1,0,1,0,0,0,13,1330,Clear,Daylight,-79.5548,43.6289
1293779,8716,Truck Driver,45 to 49,Major,Truck-Tractor,Turning Left,0,0,1,0,1,0,0,0,0,0,0,0,0,9,921,Clear,Daylight,-79.4524,43.6563
1293779,8717,Driver,40 to 44,Minor,"Automobile, Station Wagon",Going Ahead,0,0,1,0,1,0,0,0,0,0,0,0,0,9,921,Clear,Daylight,-79.4524,43.6563
